err sys SYSTEM LOG:
160. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:06:20  # Sonos System - Error Getting Favorites.
161. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:07:01  # Sonos System - Error Getting Favorites.
162. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:07:42  # Sonos System - Error Getting Favorites.
163. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:08:23  # Sonos System - Error Getting Favorites.
164. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:09:04  # Sonos System - Error Getting Favorites.
165. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:09:45  # Sonos System - Error Getting Favorites.
166. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:10:26  # Sonos System - Error Getting Favorites.
167. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:11:07  # Sonos System - Error Getting Favorites.
168. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:11:48  # Sonos System - Error Getting Favorites.
169. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:12:29  # Sonos System - Error Getting Favorites.
170. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:13:10  # Sonos System - Error Getting Favorites.
171. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:13:51  # Sonos System - Error Getting Favorites.
172. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:14:32  # Sonos System - Error Getting Favorites.
173. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:15:13  # Sonos System - Error Getting Favorites.
174. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:15:54  # Sonos System - Error Getting Favorites.
175. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:16:35  # Sonos System - Error Getting Favorites.
176. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:17:16  # Sonos System - Error Getting Favorites.
177. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:17:57  # Sonos System - Error Getting Favorites.
178. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:18:38  # Sonos System - Error Getting Favorites.
179. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:19:20  # Sonos System - Error Getting Favorites.
180. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:20:01  # Sonos System - Error Getting Favorites.
181. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:20:42  # Sonos System - Error Getting Favorites.
182. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:21:23  # Sonos System - Error Getting Favorites.
183. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:22:04  # Sonos System - Error Getting Favorites.
184. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:22:45  # Sonos System - Error Getting Favorites.
185. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:23:26  # Sonos System - Error Getting Favorites.
186. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:24:07  # Sonos System - Error Getting Favorites.
187. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:24:48  # Sonos System - Error Getting Favorites.
188. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:25:29  # Sonos System - Error Getting Favorites.
189. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:26:10  # Sonos System - Error Getting Favorites.
190. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:26:51  # Sonos System - Error Getting Favorites.
191. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:27:32  # Sonos System - Error Getting Favorites.
192. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:28:13  # Sonos System - Error Getting Favorites.
193. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:28:54  # Sonos System - Error Getting Favorites.
194. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:29:35  # Sonos System - Error Getting Favorites.
195. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:30:16  # Sonos System - Error Getting Favorites.
196. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:30:57  # Sonos System - Error Getting Favorites.
197. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:31:38  # Sonos System - Error Getting Favorites.
198. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:32:19  # Sonos System - Error Getting Favorites.
199. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:33:00  # Sonos System - Error Getting Favorites.
200. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:33:41  # Sonos System - Error Getting Favorites.
201. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:34:22  # Sonos System - Error Getting Favorites.
202. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:35:03  # Sonos System - Error Getting Favorites.
203. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:35:44  # Sonos System - Error Getting Favorites.
204. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:36:25  # Sonos System - Error Getting Favorites.
205. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:37:06  # Sonos System - Error Getting Favorites.
206. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:37:47  # Sonos System - Error Getting Favorites.
207. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:38:28  # Sonos System - Error Getting Favorites.
208. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:39:09  # Sonos System - Error Getting Favorites.
209. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:39:50  # Sonos System - Error Getting Favorites.
210. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:40:31  # Sonos System - Error Getting Favorites.
211. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:41:12  # Sonos System - Error Getting Favorites.
212. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:41:54  # Sonos System - Error Getting Favorites.
213. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:42:35  # Sonos System - Error Getting Favorites.
214. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:43:16  # Sonos System - Error Getting Favorites.
215. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:43:57  # Sonos System - Error Getting Favorites.
216. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:44:38  # Sonos System - Error Getting Favorites.
217. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:45:19  # Sonos System - Error Getting Favorites.
218. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:46:00  # Sonos System - Error Getting Favorites.
219. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:46:41  # Sonos System - Error Getting Favorites.
220. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:47:22  # Sonos System - Error Getting Favorites.
221. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:48:03  # Sonos System - Error Getting Favorites.
222. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:48:44  # Sonos System - Error Getting Favorites.
223. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:49:25  # Sonos System - Error Getting Favorites.
224. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:50:06  # Sonos System - Error Getting Favorites.
225. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:50:47  # Sonos System - Error Getting Favorites.
226. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:51:28  # Sonos System - Error Getting Favorites.
227. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:52:09  # Sonos System - Error Getting Favorites.
228. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:52:50  # Sonos System - Error Getting Favorites.
229. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:53:31  # Sonos System - Error Getting Favorites.
230. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:54:12  # Sonos System - Error Getting Favorites.
231. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:54:53  # Sonos System - Error Getting Favorites.
232. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:55:34  # Sonos System - Error Getting Favorites.
233. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:56:15  # Sonos System - Error Getting Favorites.
234. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:56:56  # Sonos System - Error Getting Favorites.
